Absolute Time,x_noise,x_hat,y_noise,y_hat,psi_noise,psi_hat,lost
3572009598.112671,0.012669,0.030282,-0.033447,0.020421,-0.009630,-0.011147,1.000000
3572009598.122673,0.036457,0.030361,-0.072280,0.019523,0.042582,-0.011250,1.000000
3572009598.132672,0.064727,0.031109,0.007760,0.017541,-0.057261,-0.009803,1.000000
3572009598.142671,0.067003,0.032748,-0.009127,0.017927,0.008778,-0.011351,1.000000
3572009598.152672,-0.030892,0.034367,0.007048,0.017851,-0.004845,-0.010903,1.000000
3572009598.162673,-0.007147,0.033060,0.049965,0.018253,-0.036725,-0.010869,1.000000
3572009598.172674,0.039635,0.032522,0.020916,0.019897,-0.007302,-0.011781,1.000000
3572009598.182673,0.006813,0.033368,0.032090,0.020660,-0.002861,-0.011797,1.000000
3572009598.192674,-0.015516,0.033222,0.053642,0.021740,-0.019960,-0.011682,1.000000
3572009598.202673,0.075688,0.032439,0.050440,0.023420,-0.046024,-0.012076,1.000000
3572009598.212675,0.041234,0.034400,0.048644,0.024945,0.009795,-0.013232,1.000000
3572009598.222675,0.074366,0.035250,0.031386,0.026416,-0.008229,-0.012705,1.000000
3572009598.232676,0.019892,0.037075,0.023513,0.027328,-0.042801,-0.012726,1.000000
3572009598.242676,0.040230,0.037268,0.021337,0.027963,0.028909,-0.013769,1.000000
3572009598.252676,0.042378,0.038008,0.012296,0.028569,0.031271,-0.012662,1.000000
3572009598.262676,0.066429,0.038793,0.061803,0.028899,-0.044715,-0.011513,1.000000
3572009598.272677,0.026558,0.040333,0.018608,0.030635,-0.027077,-0.012644,1.000000
3572009598.282675,0.062726,0.040642,0.019885,0.031063,0.026747,-0.013224,1.000000
3572009598.292677,0.039023,0.041973,0.025111,0.031559,-0.006174,-0.012195,1.000000
3572009598.302677,0.074702,0.042598,0.090412,0.032179,-0.009232,-0.012166,1.000000
3572009598.312677,0.017866,0.044268,0.029962,0.034714,0.023894,-0.012229,1.000000
3572009598.322679,0.054201,0.044188,-0.026965,0.035418,-0.011027,-0.011310,1.000000
3572009598.332678,0.043452,0.045220,0.016099,0.034399,-0.003600,-0.011448,1.000000
3572009598.342679,0.054200,0.045903,0.048204,0.034695,0.050250,-0.011362,1.000000
3572009598.352679,0.051574,0.046844,0.027692,0.035975,-0.013272,-0.009684,1.000000
3572009598.362679,0.070550,0.047741,0.040933,0.036571,0.043810,-0.009930,1.000000
3572009598.372682,0.014051,0.049129,-0.005769,0.037589,-0.008999,-0.008479,1.000000
