Absolute Time,x_noise,x_hat,y_noise,y_hat,psi_noise,psi_hat
3571296719.371318,4.427991,4.507494,1.808663,1.779001,-1.410957,-1.334692
3571296719.381320,4.451794,4.503677,1.753492,1.782722,-1.334014,-1.338510
3571296719.391320,4.420017,4.501029,1.696169,1.783570,-1.300499,-1.338395
3571296719.401317,4.533798,4.496882,1.629931,1.781576,-1.271729,-1.336648
3571296719.411320,4.539134,4.498420,1.728169,1.776440,-1.251238,-1.333575
3571296719.421321,4.524248,4.500097,1.828081,1.776340,-1.300520,-1.329641
3571296719.431321,4.502750,4.501076,1.756332,1.781131,-1.288085,-1.328294
3571296719.441322,4.506793,4.500930,1.779364,1.782188,-1.429678,-1.326402
3571296719.451322,4.418091,4.501310,1.839968,1.784328,-1.391261,-1.331513
3571296719.461321,4.487789,4.497256,1.716125,1.789322,-1.347503,-1.334515
3571296719.471321,4.588860,4.496698,1.866973,1.788032,-1.387138,-1.335243
3571296719.481322,4.469724,4.501187,1.716969,1.794165,-1.374057,-1.337875
3571296719.491323,4.450099,4.499616,1.841453,1.792684,-1.270966,-1.339748
3571296719.501319,4.425767,4.496928,1.743525,1.797332,-1.301728,-1.336500
3571296719.511323,4.523342,4.493253,1.785709,1.796986,-1.365834,-1.334902
3571296719.521323,4.466772,4.494660,1.621677,1.798723,-1.244762,-1.336508
3571296719.531324,4.410754,4.492963,1.708499,1.792350,-1.354437,-1.332127
3571296719.541324,4.589639,4.488864,1.798172,1.790545,-1.352727,-1.333303
3571296719.551324,4.490443,4.493685,1.607546,1.793202,-1.397917,-1.334342
3571296719.561323,4.469626,4.493536,1.712449,1.786434,-1.346084,-1.337542
3571296719.571323,4.575522,4.492260,1.729430,1.785108,-1.425048,-1.338064
3571296719.581326,4.455205,4.496391,1.724744,1.784676,-1.363939,-1.342420
3571296719.591325,4.496221,4.494313,1.712094,1.784037,-1.345551,-1.343593
3571296719.601321,4.496613,4.494293,1.689809,1.782811,-1.195621,-1.343814
3571296719.611325,4.532777,4.493953,1.714922,1.780515,-1.385811,-1.336700
3571296719.621325,4.448815,4.495824,1.713172,1.779600,-1.280879,-1.339201
3571296719.631326,4.450190,4.493268,1.783274,1.778630,-1.292595,-1.336462
3571296719.641327,4.571802,4.490929,1.734065,1.781130,-1.404832,-1.334420
3571296719.651327,4.555161,4.494891,1.796470,1.781121,-1.323104,-1.337955
3571296719.661327,4.540789,4.497662,1.762711,1.784150,-1.327540,-1.337336
3571296719.671327,4.495746,4.499607,1.824235,1.785387,-1.298749,-1.336963
3571296719.681326,4.590299,4.499194,1.787987,1.789561,-1.318964,-1.335200
3571296719.691328,4.543109,4.503458,1.784589,1.791768,-1.466341,-1.334506
3571296719.701324,4.474571,4.505552,1.703705,1.793705,-1.330561,-1.341044
3571296719.711329,4.458451,4.503889,1.811836,1.791603,-1.316336,-1.340651
3571296719.721329,4.444705,4.501486,1.694379,1.794876,-1.277017,-1.339580
3571296719.731328,4.549798,4.498439,1.789327,1.792252,-1.290919,-1.336637
3571296719.741329,4.528553,4.500696,1.626406,1.794390,-1.341562,-1.334508
3571296719.751329,4.485443,4.501923,1.705083,1.788487,-1.267233,-1.334949
3571296719.761330,4.477617,4.500817,1.850547,1.786692,-1.358804,-1.331739
3571296719.771330,4.631292,4.499590,1.765581,1.792098,-1.389778,-1.333149
3571296719.781331,4.456363,4.505990,1.792575,1.793100,-1.274351,-1.336009
3571296719.791331,4.538322,4.503282,1.763969,1.795352,-1.306999,-1.333100
3571296719.801327,4.493599,4.504776,1.740625,1.796109,-1.329448,-1.331918
3571296719.811331,4.449130,4.504067,1.736465,1.795694,-1.388412,-1.331887
3571296719.821332,4.483469,4.501358,1.816563,1.795103,-1.324719,-1.334738
